亚洲
🇧🇹 BT - 不丹
🇸🇩 SD - 苏丹
🇲🇿 MZ - 莫桑比克
🇱🇸 LS - 莱索托
🇪🇭 EH - 西撒哈拉
🇧🇯 BJ - 贝宁
🇿🇲 ZM - 赞比亚
🇬🇶 GQ - 赤道几内亚
🇩🇿 DZ - 阿尔及利亚
🇦🇨 AC - 阿森松岛
🇲🇼 MW - 马拉维
🇾🇹 YT - 马约特
🇲🇬 MG - 马达加斯加
🇲🇱 ML - 马里

北美洲
🇧🇿 BZ - 伯利兹
🇨🇦 CA - 加拿大
🇬🇹 GT - 危地马拉
🇨🇺 CU - 古巴
🇨🇷 CR - 哥斯达黎加
🇱🇨 LC - 圣卢西亚
🇰🇳 KN - 圣基茨和尼维斯
🇧🇱 BL - 圣巴泰勒米
🇻🇨 VC - 圣文森特和格林纳丁斯
🇵🇲 PM - 圣皮埃尔和密克隆
🇲🇽 MX - 墨西哥
🇩🇲 DM - 多米尼克
🇩🇴 DO - 多米尼加
🇦🇮 AI - 安圭拉
🇦🇬 AG - 安提瓜和巴布达
🇳🇮 NI - 尼加拉瓜
🇧🇸 BS - 巴哈马
🇧🇧 BB - 巴巴多斯
🇵🇦 PA - 巴拿马
🇨🇼 CW - 库拉索
🇰🇾 KY - 开曼群岛
🇬🇩 GD - 格林纳达
🇬🇱 GL - 格陵兰
🇲🇫 MF - 法属圣马丁
🇵🇷 PR - 波多黎各
🇭🇳 HN - 洪都拉斯
🇭🇹 HT - 海地
🇯🇲 JM - 牙买加
🇹🇨 TC - 特克斯和凯科斯群岛
🇹🇹 TT - 特立尼达和多巴哥
🇬🇵 GP - 瓜德罗普
🇧🇲 BM - 百慕大
🇺🇸 US - 美国
🇺🇲 UM - 美国本土外小岛屿
🇻🇮 VI - 美属维尔京群岛
🇻🇬 VG - 英属维尔京群岛
🇧🇶 BQ - 荷兰加勒比区
🇸🇽 SX - 荷属圣马丁
🇸🇻 SV - 萨尔瓦多
🇲🇸 MS - 蒙特塞拉特
🇦🇼 AW - 阿鲁巴
🇲🇶 MQ - 马提尼克

南美洲
🇺🇾 UY - 乌拉圭
🇪🇨 EC - 厄瓜多尔
🇨🇴 CO - 哥伦比亚
🇬🇾 GY - 圭亚那
🇻🇪 VE - 委内瑞拉
🇵🇾 PY - 巴拉圭
🇧🇷 BR - 巴西
🇨🇱 CL - 智利
🇬🇫 GF - 法属圭亚那
🇧🇴 BO - 玻利维亚
🇫🇰 FK - 福克兰群岛
🇵🇪 PE - 秘鲁
🇸🇷 SR - 苏里南
🇦🇷 AR - 阿根廷

大洋洲
🇨🇵 CP - 克利珀顿岛
🇬🇺 GU - 关岛
🇲🇵 MP - 北马里亚纳群岛
🇹🇻 TV - 图瓦卢
🇨🇽 CX - 圣诞岛
🇰🇮 KI - 基里巴斯
🇫🇲 FM - 密克罗尼西亚联邦
🇵🇬 PG - 巴布亚新几内亚
🇵🇼 PW - 帕劳
🇨🇰 CK - 库克群岛
🇸🇧 SB - 所罗门群岛
🇹🇰 TK - 托克劳
🇫🇯 FJ - 斐济
🇳🇨 NC - 新喀里多尼亚
🇳🇿 NZ - 新西兰
🇹🇴 TO - 汤加
🇵🇫 PF - 法属波利尼西亚
🇦🇺 AU - 澳大利亚
🇳🇷 NR - 瑙鲁
🇼🇫 WF - 瓦利斯和富图纳
🇻🇺 VU - 瓦努阿图
🇵🇳 PN - 皮特凯恩群岛
🇨🇨 CC - 科科斯（基林）群岛
🇳🇺 NU - 纽埃
🇦🇸 AS - 美属萨摩亚
🇼🇸 WS - 萨摩亚
🇳🇫 NF - 诺福克岛
🇭🇲 HM - 赫德岛和麦克唐纳群岛
🇲🇭 MH - 马绍尔群岛

南极洲
🇬🇸 GS - 南乔治亚和南桑威奇群岛
🇦🇶 AQ - 南极洲
🇧🇻 BV - 布韦岛
🇸🇯 SJ - 斯瓦尔巴和扬马延
🇹🇫 TF - 法属南部和南极领地

